Location,Distributed,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Dose1_Recip,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_65Plus,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_18Plus,Series_Complete_65Plus,<2-year certificate graduation rate,2-year associate degree graduation rate,4-year bachelor's graduation rate,4-year master's graduation rate,Doctor's degree - research/scholarship and professional practice,Doctor's degree - research/scholarship,Doctor's degree -  professional practice,Doctor's degree - other,Degrees awarded,Average Scale Score math_composite,Average Scale Score math_stat,Average Scale Score reading_composite,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Total Population,Citizen,Non-Citizen,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Unemployed
Indiana,7967970,6550089,6549653,6170164,1886277,3441608,3441245,3237209,932217,3174171,3174030,3004919,903269,0.619,0.313,0.679,0.496,0.7,0.507,0.613,0.675,117907,244.8831298,241.5895856,221.8129621,1601800.0,593300.0,771600.0,1628100.0,870700.0,1046300.0,6511800.0,6309000.0,202800.0,5116000.0,600500.0,471000.0,158800.0,12300.0,N/A,151300.0,138192.0
Iowa,4009965,3360891,3360840,3156503,990216,1798810,1798725,1688222,503306,1660617,1660590,1568577,485938,1,0.355,0.735,0.592,0.731,0.491,0.469,0.637,52679,240.6887381,237.4931533,220.5029171,746500.0,272600.0,349600.0,743900.0,416000.0,531600.0,3060200.0,2972600.0,87600.0,2610600.0,119200.0,191600.0,71600.0,8800.0,1000.0,57400.0,66358.0
Kansas,3680905,2994947,2994813,2798211,834524,1707517,1707386,1593146,459692,1445382,1445359,1357205,397338,0.73,0.363,0.368,0.473,0.637,0.519,0.457,0.5570625,54031,239.4397937,235.911897,219.1335666,722100.0,257400.0,324900.0,678500.0,368000.0,460300.0,2811200.0,2693000.0,118200.0,2128700.0,153300.0,341900.0,79900.0,17500.0,N/A,89100.0,55959.0
Kentucky,5472135,4726322,4725191,4452691,1275441,2631820,2631426,2476061,685438,2240808,2240738,2123128,618558,0.459,0.347,0.637,0.481,0.593,0.375,0.492,0.459,87008,239.310713,235.6253509,220.9298886,1023000.0,383900.0,491400.0,1096100.0,592200.0,732800.0,4319300.0,4211500.0,107800.0,3648500.0,344900.0,160800.0,70400.0,4900.0,N/A,87500.0,87787.0
Louisiana,5454800,4347654,4347316,4124773,1265196,2352402,2352134,2223018,637734,2017303,2017206,1925055,602273,0.693,0.246,0.433,0.441,0.56,0.378,0.582,0.5570625,64665,231.2974132,225.2938636,209.873122,1123900.0,393800.0,552100.0,1113600.0,593300.0,721800.0,4498600.0,4393100.0,105500.0,2643900.0,1433000.0,235800.0,76600.0,21600.0,N/A,86900.0,143327.0
Maine,2070510,1772157,1772042,1666132,527467,976121,976016,920275,278932,897617,897583,848742,264608,0.837,0.275,0.744,0.596,0.524,0.567,0.572,0.5570625,14399,240.7575903,238.3423705,221.2365271,247700.0,97100.0,142900.0,328000.0,208900.0,277700.0,1302300.0,1284300.0,18100.0,1213500.0,17800.0,21900.0,14500.0,9700.0,N/A,24600.0,32455.0
Maryland,9658710,7763299,7762773,7175814,1748109,4191460,4190893,3874476,914352,3790539,3790349,3523707,861343,0.651,0.254,0.867,0.664,0.779,0.56,0.234,0.505,86651,238.5624885,234.3345234,219.8389449,1369900.0,474900.0,720900.0,1559300.0,811700.0,938700.0,5875500.0,5445600.0,429900.0,2934100.0,1741500.0,624500.0,373300.0,12400.0,N/A,188100.0,193665.0
Massachusetts,10685270,9614627,9586118,8922351,2146408,5259794,5243016,4880262,1158616,4608430,4596958,4293400,1032680,0.741,0.204,0.811,0.662,0.798,0.857,0.658,0.5570625,136105,247.31944,242.899439,231.0910593,1392200.0,581200.0,875600.0,1730600.0,935300.0,1135900.0,6650800.0,6122600.0,528200.0,4687000.0,466200.0,824100.0,448000.0,12000.0,2600.0,210800.0,180505.0
Michigan,13155800,10347472,10347012,9756064,2960751,5583120,5582713,5265755,1546038,5116644,5116532,4844805,1467639,0.689,0.202,0.709,0.579,0.717,0.524,0.594,0.5570625,129146,236.1515849,232.4429069,218.2669565,2211900.0,884100.0,1151600.0,2398300.0,1391200.0,1728600.0,9765600.0,9465000.0,300600.0,7316400.0,1305100.0,514600.0,315900.0,47100.0,N/A,264900.0,234698.0
Minnesota,7522080,6509549,6490068,6031881,1654377,3534206,3523058,3282049,868140,3217138,3209065,2993515,817785,0.634,0.325,0.78,0.595,0.785,0.525,0.62,0.5570625,100729,248.4095328,246.0362818,222.393249,1340700.0,451900.0,690600.0,1387600.0,752800.0,891100.0,5514800.0,5325400.0,189300.0,4361600.0,353700.0,307300.0,272500.0,50900.0,N/A,165900.0,121637.0
Mississippi,3647855,2636292,2636042,2490414,782948,1443096,1442888,1356873,405031,1213726,1213660,1153296,372633,0.735,0.37,0.274,0.445,0.617,0.444,0.4,0.5570625,45925,240.7068903,233.8234059,219.342215,727100.0,254000.0,315500.0,719900.0,376200.0,474400.0,2867100.0,2833500.0,33600.0,1622400.0,1078300.0,85900.0,28600.0,11000.0,N/A,40700.0,79507.0
Missouri,7614075,6104681,6104289,5747973,1751409,3297970,3297588,3102728,907041,2848968,2848909,2694893,824213,0.735,0.303,0.509,0.485,0.702,0.58,0.587,0.5570625,93507,238.4101906,236.0826263,218.0016363,1403400.0,504400.0,721400.0,1462200.0,824200.0,1024300.0,5939900.0,5817300.0,122600.0,4715000.0,667100.0,253900.0,122500.0,21200.0,8200.0,152000.0,133380.0
Montana,1278885,1050301,1050122,994583,339021,569588,569456,538517,177206,503064,503025,479059,164769,0.727,0.277,0.415,0.391,0.534,0.517,0.485,0.5570625,11257,241.1131899,238.5743816,221.6791309,234600.0,88300.0,118100.0,245200.0,149100.0,204100.0,1039400.0,1029400.0,10000.0,895200.0,5900.0,38300.0,7900.0,62900.0,N/A,28700.0,19644.0
Nebraska,2449070,2103279,2102937,1958687,569286,1126560,1126293,1048302,284059,1026254,1026176,960316,272633,0.7001428571428571,0.342,0.418,0.511,0.672,0.502,0.5473249999999998,0.6,29807,243.770986,245.3014271,222.3621338,487200.0,164300.0,229300.0,448800.0,241300.0,302600.0,1873600.0,1788700.0,84900.0,1470900.0,89200.0,212200.0,45200.0,14800.0,N/A,40200.0,25887.0
Nevada,3844840,3291466,3291416,3088693,812954,1825441,1825346,1708886,429515,1515446,1515408,1432482,380777,0.747,0.585,0.032,0.276,0.523,0.532511111111111,0.5473249999999998,0.5570625,27451,235.6262726,232.4942786,217.6175616,712700.0,250700.0,396800.0,795100.0,381500.0,493000.0,3029700.0,2725300.0,304000.0,1448800.0,279000.0,888400.0,257500.0,26700.0,17500.0,111900.0,122104.0
New Hampshire,2075770,1715740,1715037,1603471,449699,928247,927727,872039,246672,824124,823915,778408,223305,0.717,0.305,0.774,0.615,0.753,0.407,0.491,0.5570625,35941,244.5591963,240.4170883,224.2640041,263700.0,102700.0,150800.0,339100.0,213700.0,244100.0,1314000.0,1277200.0,36800.0,1179700.0,17600.0,51500.0,34800.0,N/A,N/A,27600.0,21555.0
New Jersey,13465215,11246942,11246092,10443539,2553013,6321933,6321111,5875528,1384307,5572711,5572534,5208234,1264685,0.669,0.261,0.159,0.667,0.725,0.736,0.604,0.5570625,100701,245.9315987,241.3762786,227.1894172,2000100.0,711700.0,1015000.0,2321300.0,1212800.0,1438400.0,8699400.0,7846800.0,852600.0,4738500.0,1081400.0,1822900.0,836400.0,8800.0,N/A,209000.0,321343.0
New Mexico,2806255,2706917,2706588,2504953,693200,1494029,1493734,1378315,369772,1287513,1287430,1193893,334651,0.639,0.265,0.33,0.3,0.516,0.481,0.5473249999999998,0.5570625,32415,231.1103167,228.216047,207.5646885,490600.0,183500.0,238100.0,485800.0,269900.0,373600.0,2041400.0,1939800.0,101600.0,750000.0,35000.0,1010200.0,32900.0,176600.0,N/A,36000.0,74780.0
New York,28189805,25056930,25054615,23504431,5694123,13459265,13457593,12607661,2976579,12018157,12017452,11315241,2740912,0.75,0.282,0.622,0.649,0.749,0.708,0.619,0.593,324640,236.7307072,233.6946224,219.6041936,4108000.0,1632400.0,2537700.0,4850700.0,2579200.0,3200300.0,18908300.0,17175600.0,1732700.0,10432200.0,2651600.0,3649800.0,1625500.0,39100.0,N/A,507900.0,726438.0
